TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-53762-2026","2026-06-30 11:38:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","2135000","120.65","120.65","2 B/R","1","","","","0","0","","Boulevard Park 1"
"102-54311-2026","2026-06-29 17:00:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","1924178","78.39","78.39","1 B/R","1  0","","","","0","0","","Flow Residences"
"102-55901-2026","2026-07-01 08:31:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1100000","85.53","85.53","2 B/R","1","Damac Properties","Marina Mall","Burj Al Arab","0","0","","SEVEN CITY JLT"
"102-56344-2026","2026-06-30 09:47:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2404000","117.96","117.96","2 B/R","1","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","Diamondz By Danube "
"102-56585-2026","2026-06-29 16:12:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","677417","35.75","35.75","Studio","1","","","IMG World Adventures","0","0","","Cove Edition Residence 4 By Imtiaz "
"102-56844-2026","2026-06-29 17:12:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","37.84","37.84","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56854-2026","2026-06-29 17:21:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","38.41","38.41","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56861-2026","2026-06-29 17:20:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","38.04","38.04","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56864-2026","2026-06-29 17:22:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","37.84","37.84","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56868-2026","2026-06-29 17:24:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","37.27","37.27","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56869-2026","2026-06-29 17:26:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","49.12","49.12","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56875-2026","2026-06-29 17:35:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","37.84","37.84","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-56879-2026","2026-06-29 20:49:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","550000","38.05","38.05","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-57145-2026","2026-06-30 15:00:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","903239","64.63","64.63","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Stax"
"102-57404-2026","2026-06-29 18:24:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","3580000","190.98","190.98","3 B/R","2","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","MAR CASA"
"102-57542-2026","2026-06-29 16:06:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Bukadra","Unit","Flat","1707918","66.39","66.39","1 B/R","1","","","","0","0","","350 Riverside Crescent"
"102-57578-2026","2026-07-01 08:49:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1331100","80.78","80.78","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Fashionz 1 By Danube"
"102-57581-2026","2026-06-30 11:00:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","2000000","118.25","118.25","2 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Vincitore Aqua Dimore"
"102-57594-2026","2026-06-29 15:23:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Hotel Apartment","593000","33.28","33.28","Studio","1","","","","0","0","","Arian By Azizi "
"102-57597-2026","2026-06-30 12:09:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1110000","175.36","175.36","1 B/R","1","","","IMG World Adventures","0","0","","TULIP OASIS 11"
