REGISTRATION_DATE,START_DATE,END_DATE,VERSION_EN,AREA_EN,CONTRACT_AMOUNT,ANNUAL_AMOUNT,IS_FREE_HOLD_EN,ACTUAL_AREA,PROP_TYPE_EN,PROP_SUB_TYPE_EN,ROOMS,USAGE_EN,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,PARKING,TOTAL_PROPERTIES,MASTER_PROJECT_EN,PROJECT_EN
"2026-06-30 00:04:01","2025-06-30 00:00:00","2026-06-29 00:00:00","Renewed","Me'Aisem First","400000","400000","Free Hold","262","Villa","Villa","4","Residential","","","","","1","","Jumeirah Luxury"
"2026-06-30 00:12:10","2026-07-05 00:00:00","2027-07-04 00:00:00","New","Al Barsha South Fourth","65000","65000","Free Hold","79.98","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"2026-06-30 00:34:12","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Business Bay","62000","62000","Free Hold","38.1","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","ZADA TOWER"
"2026-06-30 00:34:12","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Business Bay","62000","62000","Free Hold","38.1","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","BLUE BAY"
"2026-06-30 00:37:16","2026-06-30 00:00:00","2027-06-30 00:00:00","New","Al Barsha South Fourth","84000","83767.31","Free Hold","106.99","Unit","Hotel","","Commercial","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","Milano Giovanni Boutique Suites"
"2026-06-30 01:08:57","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Jabal Ali First","65000","65000","Free Hold","76.52","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","","Azizi Shaista Residence"
"2026-06-30 01:12:10","2026-07-02 00:00:00","2027-07-01 00:00:00","New","Wadi Al Safa 3","42000","42000","Free Hold","46.82","Unit","Flat","","Residential","","","IMG World Adventures","","1","","ARAS HEIGHTS"
"2026-06-30 01:22:11","2026-07-01 00:00:00","2027-06-29 00:00:00","New","Al Yelayiss 2","90000","90250.7","Free Hold","121.24","Unit","Flat","","Residential","","","Dubai Cycling Course","","1","","RAWDA APARTMENTS"
"2026-06-30 01:30:28","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Marsa Dubai","155000","155000","Free Hold","77.09","Unit","Flat","","Residential","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","","1","","Studio One"
"2026-06-30 01:30:28","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Marsa Dubai","155000","155000","Free Hold","77.09","Unit","Flat","","Residential","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","","1","","EDEN BLUE"
"2026-06-30 01:36:00","2026-06-27 00:00:00","2027-06-26 00:00:00","Renewed","Jabal Ali First","37679.24","37679.24","Free Hold","45","Unit","Flat","","Residential","","","","","1","",""
"2026-06-30 02:06:49","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Nadd Hessa","53000","53000","Free Hold","73","Unit","Flat","","Residential","","","IMG World Adventures","","1","","PALACE TOWER"
"2026-06-30 02:32:45","2026-07-23 00:00:00","2027-07-22 00:00:00","Renewed","Muhaisanah Fourth","43999","43999","Non Free Hold","59.64","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 04:06:54","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Karama","65000","65000","Non Free Hold","10","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
